# SOCIOCULTURE Phase 2C final decisions (457 candidates)
# columns: qid	decision(KEEP|DROP)	adaptation(NONE|LIGHT|SUBSTANTIAL)	codes(, blank=candidate codes)	required_content(; blank=previous)	content_relevance_reason	adaptation_note	drop_reasons(,)	review_flags(,)
2012_CSAT_Q13	KEEP	LIGHT			균형 개발과 거점 개발의 효율성·형평성·파급 효과 비교가 지역 격차 완화 정책	그래프 설명 보강		
2012_CSAT_Q14	KEEP	NONE			도시화율과 산업 구조(2·3차 산업) 변화의 관계 해석이 산업화·도시화 자료 분석			
2012_CSAT_Q17	KEEP	NONE			개인 정보 보호 캠페인과 정보 취약 계층 인프라 지원이 정보화 문제 해결 노력			
2012_CSAT_Q18	KEEP	NONE			사회 보험·공공 부조·사회 서비스의 지원 방식·성격 비교가 사회 복지 제도와 일치			
2012_JUNE_Q04	KEEP	NONE			이혼율·1인 가구 비율 증가의 공통 원인(개인주의 확산)이 산업화·도시화에 따른 가치관 변화			
2012_JUNE_Q12	KEEP	LIGHT			농촌과 도시의 익명성·인구 밀도·인구 이동·직업 동질성 비교가 도시화에 따른 생활양식	그래프 항목 단순화		
2012_JUNE_Q14	KEEP	NONE			지역의 역사·여건을 고려한 지역사회 개발 원리가 지역사회 발전 방안과 일치			
2012_JUNE_Q17	KEEP	NONE			종교적 금기를 사회 맥락에서 이해하는 문화 상대주의 태도와 일치			
2012_JUNE_Q20	KEEP	NONE			고령화·이촌향도·수도권 집중 가설과 검증 자료 선택이 도시화·인구 문제 탐구 설계			
2012_SEPTEMBER_Q05	KEEP	NONE			문화 이해 태도(자문화 중심주의·극단적 상대주의·사대주의) 구분과 특징이 문화 이해 태도와 일치			
2012_SEPTEMBER_Q09	KEEP	LIGHT			산업화 과정의 도시 인구 집중과 대중·대중문화 형성, 대중 민주주의 요인이 산업화·도시화에 따른 생활양식 변화	대중 매체 선지 조정		
2012_SEPTEMBER_Q12	KEEP	NONE			온라인 백과사전의 집단 지성과 지식·정보 공유가 정보 사회의 특징			
2012_SEPTEMBER_Q15	KEEP	LIGHT			60세 이상 인구의 노인 문제 인식(경제적 어려움·소외감·복지 시설) 조사 해석이 고령화 문제 자료	계산 단순화		
2012_SEPTEMBER_Q16	KEEP	LIGHT			농업·산업·정보 사회의 가치관·지식 산업 비중 비교가 산업화·정보화에 따른 변화	그림 항목 단순화		
2012_SEPTEMBER_Q17	KEEP	LIGHT			미니스커트 도입과 인터넷을 통한 음악 확산이 외부 요인에 의한 문화 변동 사례	자극 전파 선지 교체		
2012_SEPTEMBER_Q19	KEEP	NONE			공공 부조 제도의 부담자·수급자 불일치 특징이 사회 복지 제도와 일치			
2012_SEPTEMBER_Q20	KEEP	LIGHT			도시·농촌 인구와 지역 총생산 변화(이촌향도·1인당 총생산) 해석이 도시화와 지역 격차 자료	계산 단순화		
2013_CSAT_Q05	KEEP	LIGHT			거점·광역·균형 개발의 형평성·효율성·역차별 논란 비교가 지역 격차 완화 정책	분류도 단순화		
2013_CSAT_Q06	KEEP	NONE			농촌·도시의 부양비·독거노인·다문화 가구 조사에 필요한 자료 판단이 인구 문제·도시화 탐구 설계			
2013_CSAT_Q07	KEEP	NONE			문화 접변 결과(병존·융합·동화, 강제적 대체) 해석이 문화 변동 양상과 일치			
2013_CSAT_Q08	KEEP	LIGHT			가정·일터 결합, 제조업 비중, 변동 속도로 농업·산업·정보 사회를 구분하는 산업화·정보화 이해	구분 퍼즐 단순화		BOUNDARY_KEEP_DROP
2013_CSAT_Q10	KEEP	NONE			소비자 선호를 반영한 맞춤형 생산이 정보화에 따른 생산·소비 방식 변화			
2013_CSAT_Q12	KEEP	NONE			사회 서비스·의료 급여·건강 보험 비교가 사회 복지 제도와 일치			
2013_CSAT_Q15	KEEP	LIGHT			도시·농촌 간 인구 이동 자료로 이촌향도를 해석하는 도시화 자료 분석	계산 단순화		
2013_CSAT_Q16	KEEP	NONE			자문화 중심주의·문화 사대주의·문화 상대주의의 특징 비교가 문화 이해 태도와 일치			
2013_JUNE_Q03	KEEP	LIGHT			거점 개발 후 균형 개발 정책의 지역 내 총생산 비율 변화 평가가 지역 격차 완화 정책 자료	계산 단순화		
2013_JUNE_Q09	KEEP	NONE			귀농 인구 증가와 농촌 직업 구성 변화가 농촌 지역사회 변화 자료			
2013_JUNE_Q14	KEEP	LIGHT			농촌과 도시의 비공식 통제·직업 이질성·인간관계 비교가 도시화에 따른 생활양식	질문 도식 단순화		
2013_SEPTEMBER_Q04	KEEP	NONE			정보 격차 요인 가설과 적합한 검증 자료 선택이 정보 격차 탐구 설계			
2013_SEPTEMBER_Q05	KEEP	NONE			문화 사대주의·문화 상대주의·자문화 중심주의를 구분하는 질문 선택이 문화 이해 태도			
2013_SEPTEMBER_Q10	KEEP	LIGHT			고령자 가구 유형 구성비 변화(1인 가구 증가) 해석이 고령화와 가구 변화 자료	증가율 계산 단순화		
2013_SEPTEMBER_Q11	KEEP	LIGHT			가정·일터 결합, 다원화, 관료제화 정도로 구분한 농업·산업·정보 사회 비교가 산업화·정보화에 따른 변화	관료제화 기준 교체		BOUNDARY_KEEP_DROP
2013_SEPTEMBER_Q12	KEEP	LIGHT			거점 개발과 균형 개발의 효율성·의사 결정 방식 비교가 지역 격차 완화 정책	그래프 축 설명 보강		
2013_SEPTEMBER_Q14	KEEP	NONE			노년 부양비·1인 가구 비율 증가 요인(평균 수명 상승·초혼 연령 상승) 판단이 인구 문제 이해			
2013_SEPTEMBER_Q15	KEEP	NONE			사회 보험·공공 부조·사회 서비스 구분과 특징이 사회 복지 제도와 일치			
2013_SEPTEMBER_Q17	KEEP	LIGHT			국수의 전파와 지역 재료와의 결합(문화 융합), 자발적 접변이 문화 변동 양상	문화 개혁 등 용어 선지 조정		
2014_CSAT_Q06	KEEP	NONE			외국 제품 동경(문화 사대주의)과 원주민을 야수로 본 태도(자문화 중심주의) 평가가 문화 이해 태도			
2014_CSAT_Q13	KEEP	NONE			종교에 따라 사회적 소수자가 사회적으로 규정됨을 추론하는 사회적 소수자 개념			
2014_CSAT_Q14	DROP	SUBSTANTIAL			정답이 뉴미디어와 전통 대중 매체의 사례·특성(상호 작용성 등) 분류로 매체 유형 비교가 핵심	매체 분류 단원	SOCIOCULTURE_CLASSIFICATION	
2014_CSAT_Q15	KEEP	NONE			사회 보험과 공공 부조의 공통점(소득 재분배)·차이점 판단이 사회 복지 제도와 일치			
2014_CSAT_Q17	KEEP	LIGHT			소득 계층별 남녀 평균 임금 격차 추이 해석이 성 불평등 자료 분석	격차 공식 계산 단순화		
2014_CSAT_Q19	KEEP	NONE			한류 확산과 이주민 증가에 따른 다문화주의 수용이 외재적 요인에 의한 문화 접변과 다문화 사회			
2014_JUNE_Q14	KEEP	NONE			국민 기초 생활 보장과 국민연금 제도의 성격 비교, 저출산·고령화에 따른 연금 부담이 복지 제도와 인구 문제			
2014_JUNE_Q16	KEEP	LIGHT			성별·교육 수준별 비정규직 비율 해석이 고용 불평등 자료 분석	계산 단순화		
2014_JUNE_Q17	KEEP	NONE			서양 의학 도입으로 주술적 의료가 대체된 문화 동화 사례가 문화 변동 양상			
2014_JUNE_Q18	KEEP	LIGHT			이주 노동자가 사회적 소수자가 되는 원인(제도 미비·불평등 구조)과 해결 방안 비교가 사회적 소수자 차별 문제	거시적·재사회화 등 관점 용어 선지 교체		BOUNDARY_KEEP_DROP
2014_JUNE_Q19	DROP	SUBSTANTIAL			정답이 비교론적·총체론적 관점의 특징 판별로 문화 이해 관점 분류가 핵심	관점 분류 없이 성립하지 않음	SOCIOCULTURE_CLASSIFICATION	
2014_SEPTEMBER_Q11	KEEP	NONE			사회 보장 제도 세 유형의 대상·성격 비교가 사회 복지 제도와 일치			
2014_SEPTEMBER_Q13	KEEP	NONE			사회적 소수자가 차이 인식·배타·배제 단계를 거쳐 사회마다 다르게 형성된다는 이해가 사회적 소수자 차별			
2014_SEPTEMBER_Q14	KEEP	NONE			상이한 관습을 그 사회의 문화적 전통 속에서 이해하는 문화 상대주의와 일치			
2014_SEPTEMBER_Q17	KEEP	NONE			고령화·빈곤·비정규직 격차·저출산 가설과 자료 수집 적절성 판단이 불평등·인구 문제 탐구 설계(PNG 확인)			
2015_CSAT_Q03	KEEP	NONE			장애인·여성 차별 해소에 제도 개선과 의식 개혁이 모두 필요하다는 추론이 사회적 소수자 차별 해결 방안			
2015_CSAT_Q09	KEEP	LIGHT			도시·농촌 절대적·상대적 빈곤율 자료 해석이 빈곤·불평등 자료 분석	계산 단순화		
2015_CSAT_Q10	DROP	SUBSTANTIAL			정답이 한글 창제를 내재적 요인(발명)으로 판별하는 문화 변동 요인 분류	요인 분류 없이 성립하지 않음	SOCIOCULTURE_CLASSIFICATION	
2015_CSAT_Q11	KEEP	NONE			조장 등 낯선 장례 문화를 해당 사회 구성원의 관점에서 이해하는 문화 상대주의와 일치			
2015_CSAT_Q15	KEEP	NONE			사회 보험·공공 부조·사회 서비스의 강제 가입·금전 지원·재분배 효과 비교가 복지 제도와 일치			
2015_CSAT_Q17	KEEP	LIGHT			가정·일터 결합, 익명성, 정보 생산자·소비자 구분으로 비교한 농업·산업·정보 사회가 산업화·정보화에 따른 변화	비교 기준 퍼즐 단순화		BOUNDARY_KEEP_DROP
2015_JUNE_Q10	KEEP	NONE			정복국의 문화 이식에 따른 문화 동화와 유학생을 통한 문화 공존이 문화 변동 양상			
2015_JUNE_Q12	KEEP	LIGHT			산업 사회와 정보 사회의 정보 격차·전자 상거래·면대면 소통 비중 비교가 정보화에 따른 생활양식 변화	관료제 기준 교체		OCR_UNCERTAIN
2015_JUNE_Q13	KEEP	NONE			문화 상대주의·자문화 중심주의·문화 사대주의의 특징 비교가 문화 이해 태도와 일치			
2015_JUNE_Q14	KEEP	NONE			이주 노동자·다수 흑인 사례로 사회적 소수자가 사회마다 다르고 수의 크기로 결정되지 않음을 이해			
2015_JUNE_Q15	KEEP	LIGHT			상대적·절대적 빈곤율 추이 해석이 빈곤·불평등 자료 분석	계산 단순화		
2015_JUNE_Q17	KEEP	NONE			사회 보험과 공공 부조의 비용 부담·가입 원칙·상호 부조 성격 비교가 복지 제도와 일치			
2015_SEPTEMBER_Q10	KEEP	LIGHT			절대적·상대적 빈곤 가구 비율 변화 해석이 빈곤 자료 분석	계산 단순화		
2015_SEPTEMBER_Q13	KEEP	NONE			사회 보장 제도 A·B를 재분배 효과·강제 가입·비용 부담·소득 고려로 비교하는 복지 제도 내용			
2015_SEPTEMBER_Q14	DROP	SUBSTANTIAL			정답이 비교론적·총체론적 관점의 특징 판별로 문화 이해 관점 분류가 핵심	장례 문화는 소재	SOCIOCULTURE_CLASSIFICATION	
2015_SEPTEMBER_Q16	DROP	SUBSTANTIAL			정답이 발명·직접·간접·자극 전파 분류도에 사례를 대응시키는 문화 변동 요인 분류	요인 분류 없이 성립하지 않음	SOCIOCULTURE_CLASSIFICATION	
2015_SEPTEMBER_Q18	KEEP	LIGHT			지식 산업 부가가치·소품종 대량 생산·익명성으로 비교한 농업·산업·정보 사회가 산업화·정보화에 따른 변화	의사 결정 분권화 기준 교체		BOUNDARY_KEEP_DROP
2016_CSAT_Q04	DROP	SUBSTANTIAL			정답이 비교론적·총체론적 관점의 특징 판별로 문화 이해 관점 분류가 핵심	응원·장례 문화는 소재	SOCIOCULTURE_CLASSIFICATION	
2016_CSAT_Q07	KEEP	LIGHT			스왜그·스낵 컬처 등 일부 구성원의 생활양식이 문화 다양성에 기여한다는 판단이 문화 다양성 이해	반문화·하위문화 선지 교체		BOUNDARY_KEEP_DROP
2016_CSAT_Q13	KEEP	NONE			절대적 빈곤과 상대적 빈곤의 의미와 기준 비교가 빈곤·불평등 이해			
2016_CSAT_Q15	KEEP	LIGHT			국민연금·기초연금·기초 생활 보장 제도의 성격과 지역별 수급자 비율 해석이 복지 제도 자료 분석(예시 13번 기초 연금)	계산 단순화		
2016_CSAT_Q16	KEEP	LIGHT			가정·일터 결합, 비대면 접촉, 직업 동질성의 사회별 비교가 산업화·정보화에 따른 생활양식 변화	관료제화 기준 교체		BOUNDARY_KEEP_DROP
2016_CSAT_Q17	KEEP	NONE			문화 융합과 문화 병존의 의미·사례·공통점(정체성 유지) 판단이 문화 변동 양상과 일치			
2016_JUNE_Q07	KEEP	LIGHT			키크유족 인사법을 더럽다고 평가하는 태도와 지역 맥락에서의 이해가 문화 이해 태도(정답③)	문화 요소·좁은 의미 선지 교체		
2016_JUNE_Q10	KEEP	LIGHT			절대적 빈곤 대비 상대적 빈곤 가구 비 추이로 빈곤선 변화를 해석하는 빈곤 자료 분석	비율 연쇄 계산 단순화		BOUNDARY_KEEP_DROP
2016_JUNE_Q14	KEEP	LIGHT			덥고 습한 기후와 음식 나눔, 유목 생활과 화장 문화가 자연환경·생활 방식에 따른 문화 형성과 직접 대응	문화 속성 보기를 환경과 문화의 관계 보기로 교체		BOUNDARY_KEEP_DROP
2016_JUNE_Q15	KEEP	LIGHT			소득 분위별 사회 보험 급여·기초 생활 보장 급여 비중 해석이 복지 제도의 재분배 자료 분석	계산 단순화		
2016_JUNE_Q17	KEEP	NONE			교류에 따른 융합·동화·병존 결과와 사례 대응이 문화 변동 양상과 일치			
2016_SEPTEMBER_Q06	KEEP	NONE			문화 사대주의·자문화 중심주의·문화 상대주의의 사례와 비판 판단이 문화 이해 태도			
2016_SEPTEMBER_Q11	KEEP	LIGHT			국가별 절대적·상대적 빈곤율 추이 해석이 빈곤 자료 분석	계산 단순화		
2016_SEPTEMBER_Q14	KEEP	LIGHT			왕실 혼인과 왕래를 통한 음식 문화 전파와 새로운 음식 형성(문화 융합)이 문화 변동 사례	정답 선지(하위문화)를 문화 융합 선지로 교체		BOUNDARY_KEEP_DROP,LIGHT_VS_SUBSTANTIAL
2016_SEPTEMBER_Q15	KEEP	LIGHT			다원화·가정과 일터 결합·면대면 접촉 등으로 비교한 농업·산업·정보 사회가 산업화·정보화에 따른 변화	분류 기준 퍼즐 단순화		BOUNDARY_KEEP_DROP
2016_SEPTEMBER_Q16	KEEP	NONE			고용 보험 실업 급여와 기초 연금의 상호 부조·재분배 성격 비교가 복지 제도와 일치			
2017_CSAT_Q10	DROP	SUBSTANTIAL			정답이 발견·발명·직접 전파 분류와 도식 해석으로 문화 변동 요인 분류가 핵심	요인 분류 없이 성립하지 않음	SOCIOCULTURE_CLASSIFICATION	
2017_CSAT_Q11	KEEP	LIGHT			인터넷·스마트폰 보급으로 온라인 게임이 전 세대 문화가 되고 청소년 언어로 세대 간 소통 장애가 생긴 정보화에 따른 문화 변화	하위문화·반문화 용어 선지 교체		BOUNDARY_KEEP_DROP
2017_CSAT_Q12	KEEP	LIGHT			가정·일터 분리, 비대면 접촉, 전자 상거래 비중으로 비교한 농업·산업·정보 사회가 산업화·정보화에 따른 변화	질문 퍼즐 단순화		BOUNDARY_KEEP_DROP
2017_CSAT_Q17	KEEP	NONE			노인 장기 요양 보험(사회 보험)과 기초 연금(공공 부조)의 재분배 효과 비교가 복지 제도와 일치			
2017_CSAT_Q18	KEEP	LIGHT			경력 단절 여성 규모와 사유(결혼·출산·육아) 자료가 성 불평등과 노동 시장 자료 분석	인구 변화율 연쇄 계산 단순화		
2017_JUNE_Q06	KEEP	NONE			이주로 사회적 소수자가 되는 사례에서 소수자 기준의 상대성을 도출			
2017_JUNE_Q09	KEEP	LIGHT			정보 확산 속도·비대면 접촉·전자 상거래 비중으로 비교한 산업 사회와 정보 사회가 정보화에 따른 변화	관료제 기준 보기 교체		BOUNDARY_KEEP_DROP
2017_JUNE_Q10	DROP	SUBSTANTIAL			정답이 발명·직접·자극 전파 분류와 변동 도식 해석으로 문화 변동 요인 분류가 핵심	요인 분류 없이 성립하지 않음	SOCIOCULTURE_CLASSIFICATION	
2017_JUNE_Q11	KEEP	NONE			문화 상대주의·문화 사대주의·자문화 중심주의의 우열 판단 여부 비교가 문화 이해 태도			
2017_JUNE_Q17	KEEP	LIGHT			기초 생활 보장 제도의 절대 기준(최저생계비)에서 상대 기준(중위소득)으로의 개편 해석이 복지 제도 자료 분석	계산 단순화		
2017_SEPTEMBER_Q06	KEEP	LIGHT			재택근무와 공장 노동 사례로 비교한 산업 사회·정보 사회의 생산 방식 변화가 정보화에 따른 노동·생활양식 변화	관료제 선지 조정		OCR_UNCERTAIN
2017_SEPTEMBER_Q08	KEEP	LIGHT			추운 기후·분지 지형이 음식 문화에 미친 영향이 자연환경에 따른 문화 형성과 직접 대응	문화 속성 보기를 환경과 문화 관계 보기로 교체		BOUNDARY_KEEP_DROP,OCR_UNCERTAIN
2017_SEPTEMBER_Q10	DROP	SUBSTANTIAL			강제적 접변 사례이나 정답이 (다)의 전파 유형을 식별해야 하는 문화 변동 요인 분류 퍼즐	요인 분류 없이 정답 성립 불가	SOCIOCULTURE_CLASSIFICATION	BOUNDARY_KEEP_DROP,OCR_UNCERTAIN
2017_SEPTEMBER_Q14	DROP	SUBSTANTIAL			정답이 총체론적·비교론적 관점의 특징 판별로 문화 이해 관점 분류가 핵심	관점 분류 없이 성립하지 않음	SOCIOCULTURE_CLASSIFICATION	
2017_SEPTEMBER_Q17	KEEP	NONE			공공 부조·사회 보험·사회 서비스의 특징 구분이 사회 복지 제도와 일치			
2017_SEPTEMBER_Q19	KEEP	NONE			유리 천장·유리 벽 현상과 양성평등 문화 확산이 성 불평등과 해소 방안			
2018_CSAT_Q04	KEEP	LIGHT			성별 노인의 기초 생활 보장·국민연금·장기 요양 수급 비율 해석이 복지 제도 자료 분석	계산 단순화		
2018_CSAT_Q12	DROP	SUBSTANTIAL			정답이 발견·발명·간접·자극·직접 전파 분류도 해석으로 문화 변동 요인 분류가 핵심	요인 분류 없이 성립하지 않음	SOCIOCULTURE_CLASSIFICATION	
2018_CSAT_Q14	KEEP	NONE			자문화 중심주의와 문화 사대주의 태도 비교가 문화 이해 태도와 일치			
2018_CSAT_Q15	KEEP	LIGHT			지역·계층별 학생 1인당 교육비 격차 자료가 교육 불평등·공간 불평등 자료 분석	진위 판단 가능성 형식을 직접 해석형으로 조정		BOUNDARY_KEEP_DROP
2018_CSAT_Q18	KEEP	LIGHT			가정과 일터 분리·비대면 접촉·익명성으로 비교한 농업·산업·정보 사회가 산업화·정보화에 따른 변화	관료제 선지 교체		BOUNDARY_KEEP_DROP
2018_JUNE_Q04	DROP	SUBSTANTIAL			양상(공존·동화·융합)과 함께 정답이 간접·자극·직접 전파의 유형 식별을 요구하는 문화 변동 요인 분류 퍼즐	요인 분류 없이 정답 성립 불가	SOCIOCULTURE_CLASSIFICATION	BOUNDARY_KEEP_DROP
2018_JUNE_Q12	KEEP	NONE			문화 상대주의와 극단적 문화 상대주의 경계 판단이 문화 상대주의와 보편 윤리와 일치			
2018_JUNE_Q15	KEEP	LIGHT			산업별 취업자·학력·연령 구조 변화 자료가 산업화와 인구 구조 변화 분석	계산 단순화		
2018_JUNE_Q16	KEEP	NONE			교육 차별 금지와 장애인 교육 지원 법 조항이 불평등 해소 제도·적극적 조치와 일치			
2018_JUNE_Q19	KEEP	NONE			공공 부조·사회 보험·사회 서비스 구분 질문과 사례(기초 연금·고용 보험) 판단이 복지 제도와 일치			
2018_SEPTEMBER_Q09	KEEP	LIGHT			햄버거가 전파 과정에서 새로운 형태로 탄생한 문화 융합 사례가 문화 변동 양상	전파 유형 선지 교체		
2018_SEPTEMBER_Q10	KEEP	NONE			식사 문화에 대한 자문화 중심주의와 문화 상대주의 태도 비교가 문화 이해 태도와 일치			
2018_SEPTEMBER_Q11	KEEP	NONE			노인 대상 장기 요양 보험·기초 연금·사회 서비스 특징 비교가 복지 제도와 일치			
2018_SEPTEMBER_Q14	KEEP	LIGHT			중위소득 기준 공공 부조 급여 기준과 대상 가구 비율 해석이 복지 제도 자료 분석	계산 단순화		
2018_SEPTEMBER_Q15	DROP	SUBSTANTIAL			정답이 확대 가족·핵가족 판별과 가족 기능·의사 결정 구조 비교로 가족 형태 분류가 핵심	산업화는 시기 구분 소재	SOCIOCULTURE_CLASSIFICATION	
2018_SEPTEMBER_Q18	KEEP	LIGHT			가정과 일터 결합·변동 속도·익명성으로 비교한 농업·산업·정보 사회가 산업화·정보화에 따른 변화	그래프 기준 단순화		BOUNDARY_KEEP_DROP
2019_CSAT_Q10	DROP	SUBSTANTIAL			정답이 총체론적 관점과 상대론적 관점의 특징 판별로 문화 이해 관점 분류가 핵심	상대론 부분만 남기려면 보기 재구성 필요	SOCIOCULTURE_CLASSIFICATION	BOUNDARY_KEEP_DROP
2019_CSAT_Q13	KEEP	NONE			의복·음식·주거 분야의 문화 융합·공존 판별이 문화 변동 양상과 일치			
2019_CSAT_Q15	KEEP	NONE			공공 부조·사회 보험·사회 서비스 구분과 대상·성격 비교가 복지 제도와 일치			
2019_CSAT_Q18	KEEP	LIGHT			1차 산업·전인격적 관계·디지털 기술·대량 생산으로 비교한 농업·산업·정보 사회가 산업화·정보화에 따른 변화	사회 유형 판별을 산업화·정보화 변화 중심으로 정리		BOUNDARY_KEEP_DROP
2019_JUNE_Q03	KEEP	NONE			장례 풍습에 대한 자문화 중심주의·문화 상대주의·문화 사대주의 판별이 문화 이해 태도와 일치			
2019_JUNE_Q05	KEEP	LIGHT			블루스·웨스턴 뮤직이 로큰롤로 융합되는 과정이 문화 변동 양상 소재	정답인 하위문화 선지를 문화 융합 선지로 조정		BOUNDARY_KEEP_DROP
2019_JUNE_Q07	KEEP	NONE			절대적·상대적 빈곤 개념과 측정 기준 비교가 빈곤·불평등 내용과 일치			
2019_JUNE_Q09	DROP	SUBSTANTIAL			발견·발명·직접·자극·간접 전파를 질문 구조로 구분하는 문화 변동 요인 퍼즐이 핵심	요인 분류 제거 시 문항 성립 불가	SOCIOCULTURE_CLASSIFICATION	OCR_UNCERTAIN
2019_JUNE_Q15	KEEP	NONE			노인 대상 사회 보장 제도 사례 구분이 복지 제도·고령화 대응과 일치			
2019_JUNE_Q16	KEEP	LIGHT			농업·산업·정보 사회 특징 비교가 산업화·정보화에 따른 변화	사회 유형 판별을 산업화·정보화 변화 중심으로 정리		BOUNDARY_KEEP_DROP
2019_SEPTEMBER_Q07	KEEP	NONE			절대적·상대적 빈곤 개념 비교가 빈곤·불평등 내용과 일치			
2019_SEPTEMBER_Q09	KEEP	LIGHT			성별·부모 계층별 진학률 격차가 사회 계층 양극화·교육 불평등 자료 해석	비율 계산 선지 단순화		
2019_SEPTEMBER_Q10	DROP	SUBSTANTIAL			정답 판별에 발명·전파 등 문화 변동 요인 구분이 필요해 요인 분류가 핵심	양상 부분만 남기려면 사례·선지 재구성 필요	SOCIOCULTURE_CLASSIFICATION	BOUNDARY_KEEP_DROP,OCR_UNCERTAIN
2019_SEPTEMBER_Q15	KEEP	NONE			근로 장려금 지급 체계와 생산적 복지 자료 해석이 사회 복지 제도와 일치			
2019_SEPTEMBER_Q18	KEEP	LIGHT			농업·산업·정보 사회 특징 비교가 산업화·정보화에 따른 변화	사회 유형 판별을 산업화·정보화 변화 중심으로 정리		BOUNDARY_KEEP_DROP
2019_SEPTEMBER_Q19	KEEP	NONE			자문화 중심주의·문화 상대주의와 보편 윤리 관점이 문화 이해 태도·극단적 상대주의 비판과 일치			
2020_CSAT_Q12	KEEP	NONE			절대적·상대적 빈곤 개념 비교가 빈곤·불평등 내용과 일치			
2020_CSAT_Q13	KEEP	NONE			크루아상·바인미 사례의 문화 융합 판별이 문화 변동 양상과 일치			
2020_CSAT_Q14	KEEP	NONE			문화 사대주의·상대주의·자문화 중심주의 판별이 문화 이해 태도와 일치			
2020_CSAT_Q15	KEEP	LIGHT			지역·시기별 사회 보장 제도 수급자 비율 해석이 복지 제도 자료 해석	비율 계산 선지 단순화		
2020_CSAT_Q19	KEEP	LIGHT			농업·산업·정보 사회 특징 비교가 산업화·정보화에 따른 변화	사회 유형 판별을 산업화·정보화 변화 중심으로 정리		BOUNDARY_KEEP_DROP
2020_JUNE_Q04	KEEP	NONE			간편 결제·1인 방송 악용과 문화 지체가 과학기술 발달에 따른 문제와 문화 변동과 일치			
2020_JUNE_Q10	KEEP	NONE			온돌·아파트 사례의 문화 동화·융합 판별이 문화 변동 양상과 일치			
2020_JUNE_Q13	KEEP	NONE			자문화 중심주의·문화 사대주의·문화 상대주의 판별이 문화 이해 태도와 일치			
2020_JUNE_Q15	KEEP	LIGHT			공공 부조·사회 보험 지역별 수급자 비율 해석이 복지 제도 자료 해석	비율 계산 선지 단순화		
2020_JUNE_Q17	KEEP	LIGHT			농업·산업·정보 사회 특징 비교가 산업화·정보화에 따른 변화	사회 유형 판별을 산업화·정보화 변화 중심으로 정리		BOUNDARY_KEEP_DROP
2020_JUNE_Q18	KEEP	NONE			절대적·상대적 빈곤 기준 비교가 빈곤·불평등 내용과 일치			
2020_SEPTEMBER_Q07	KEEP	NONE			공공 부조·사회 보험·사회 서비스 사례 구분이 사회 복지 제도와 일치			
2020_SEPTEMBER_Q10	KEEP	LIGHT			절대적·상대적 빈곤 가구 지원 정책 자료가 빈곤 대책·복지 제도 자료 해석	계산 선지 단순화		
2020_SEPTEMBER_Q17	DROP	SUBSTANTIAL			발견·발명·직접·자극 전파 구분 퍼즐로 문화 변동 요인 분류가 핵심	요인 분류 제거 시 문항 성립 불가	SOCIOCULTURE_CLASSIFICATION	
2020_SEPTEMBER_Q18	KEEP	LIGHT			농업·산업·정보 사회 특징 비교가 산업화·정보화에 따른 변화	사회 유형 판별을 산업화·정보화 변화 중심으로 정리		BOUNDARY_KEEP_DROP
2021_CSAT_Q02	KEEP	NONE			허위 정보·불법 공유 등 정보 사회 문제와 정보 활용 능력이 정보화 문제와 해결과 일치			
2021_CSAT_Q03	DROP	SUBSTANTIAL			정답이 사회 운동의 조직성·목표 등 유형 구분으로 사회·문화 사회 운동 분류가 핵심	시민 참여 문항으로 바꾸려면 보기 전면 재구성 필요	SOCIOCULTURE_CLASSIFICATION	BOUNDARY_KEEP_DROP
2021_CSAT_Q04	KEEP	NONE			이주민 종교 문화에 대한 자문화 중심주의·문화 상대주의 판별이 문화 이해 태도·다문화 사회와 일치			
2021_CSAT_Q15	KEEP	LIGHT			기초 연금·국민연금 지역별 수급자 비율이 복지 제도·고령화 대응 자료 해석	비율 계산 선지 단순화		
2021_CSAT_Q16	KEEP	LIGHT			접촉으로 새로운 요소가 생기는 문화 병존·융합 판별이 문화 변동 양상과 일치	전파 유형 선지는 양상 선지로 조정		BOUNDARY_KEEP_DROP
2021_CSAT_Q18	KEEP	NONE			총부양비·노령화 지수와 고령 사회 단계 해석이 저출생·고령화 자료 해석과 일치			
2021_CSAT_Q20	KEEP	LIGHT			성별 임금·교육 격차 지수가 성 불평등·사회적 약자 자료 해석	지수 계산 선지 단순화		
2021_JUNE_Q03	KEEP	NONE			자문화 중심주의·문화 사대주의·문화 상대주의 판별이 문화 이해 태도와 일치			
2021_JUNE_Q10	KEEP	LIGHT			국가별 성별 임금 격차·여성 의원 비율이 성 불평등 자료 해석	계산 선지 단순화		
2021_JUNE_Q12	KEEP	NONE			문화 융합·강제적 문화 접변 판별이 문화 변동 양상과 일치			
2021_JUNE_Q13	KEEP	NONE			정보 격차가 정보화에 따른 문제와 일치			
2021_JUNE_Q14	KEEP	NONE			절대적·상대적 빈곤 개념 비교가 빈곤·불평등 내용과 일치			
2021_JUNE_Q15	KEEP	LIGHT			기초 연금·장기 요양 보험·노인 돌봄 서비스가 복지 제도·고령화 대응과 일치	제도 유형 구분 선지 표현 정리		
2021_JUNE_Q17	DROP	SUBSTANTIAL			6월 민주 항쟁·금 모으기 운동 소재이나 정답이 뚜렷한 목표·체계적 활동이라는 사회 운동의 개념 요건 판별로 사회·문화 사회 운동 분류가 핵심	시민 참여 문항으로 바꾸려면 선지 전면 재구성 필요	SOCIOCULTURE_CLASSIFICATION	BOUNDARY_KEEP_DROP
