# SOCIOCULTURE Phase 2B rescue decisions (LOW 248 + NONE_AUDIT)
# columns: qid	decision(RESCUE|REMAIN_LOW|REMAIN_NONE)	codes(,)	required_content(;)	rescue_basis	content_relevance	review_flags(,)
# rescue_basis letters: A=정답 논리가 성취기준과 실질 연결, B=사문 용어·선지 일부 교체로 전환, C=자료가 공식 내용에 직접 대응, D=2028 예시문항 깊이와 동등
2005_CSAT_Q03	RESCUE	2-01-02	시민 단체 참여와 시민성 함양; 공익 증진·여론 수렴을 통한 정책 반영	A: 정답(ㄴ,ㄹ)이 시민 단체의 공익 추구·정책 과정 참여 역할로 구성됨	시민 참여 방안으로서 시민 단체의 역할을 직접 다룸; 공동 사회·공식 조직 보기만 교체하면 통합사회 문항	
2026_JUNE_Q07	REMAIN_LOW		직업별 임금 관점	관점 판별	관점 판별	
2026_JUNE_Q09	REMAIN_LOW		고령층 디지털 교육 연구	연구방법	연구방법	
2026_JUNE_Q19	REMAIN_LOW		제주 해녀 문화 속성	문화 속성 맞히기(전통문화는 소재)	문화 속성 맞히기(전통문화는 소재)	
2026_SEPTEMBER_Q04	REMAIN_LOW		문화 속성 사례	문화 속성 맞히기	문화 속성 맞히기	
2026_SEPTEMBER_Q06	REMAIN_LOW		대중문화 자극성	대중문화 역기능	대중문화 역기능	
2026_SEPTEMBER_Q08	REMAIN_LOW		이주민 사회 운동 하위문화	하위문화 구분	하위문화 구분	
2026_SEPTEMBER_Q13	REMAIN_LOW		노동 인권 사례 집단 분류	집단·지위 분류	집단·지위 분류	
2027_JUNE_Q07	REMAIN_LOW		AI 상담 연구	연구방법	연구방법	
2027_JUNE_Q14	REMAIN_LOW		커피 문화 속성	문화 속성 맞히기	문화 속성 맞히기	
2027_JUNE_Q17	REMAIN_LOW		망명 종교 공동체 하위문화	하위문화 분류	하위문화 분류	
2027_SEPTEMBER_Q03	REMAIN_LOW		문화 속성	문화 속성 맞히기	문화 속성 맞히기	
2027_SEPTEMBER_Q12	REMAIN_LOW		독서 인증·코스프레	하위문화 분류	하위문화 분류	
2027_SEPTEMBER_Q17	REMAIN_LOW		이주 노동자 관점	관점 이론(이주민은 소재)	관점 이론(이주민은 소재)	
2027_SEPTEMBER_Q18	REMAIN_LOW		세계 시장 확장 변동관	변동 이론(세계화는 소재)	변동 이론(세계화는 소재)	
2005_CSAT_Q18	REMAIN_NONE		갈등론 관점	관점 판별 퍼즐	통합사회 내용 연결 없음; 규칙 점수는 '생산수단·불평등' 어휘 적중	
2005_SEPTEMBER_Q15	REMAIN_NONE		관료제 특징	조직론	통합사회 내용 연결 없음	
2006_CSAT_Q19	REMAIN_NONE		도시 생태학과 일탈	일탈 이론(도시·이민자는 소재)	일탈 이론(도시·이민자는 소재)	
2008_JUNE_Q02	REMAIN_NONE		면접 연구 과정	연구방법	연구방법	
2011_JUNE_Q03	REMAIN_NONE		실증적 연구 사례	연구방법	연구방법	
2013_JUNE_Q01	REMAIN_NONE		사회 현상의 시대적 가변성	현상 특성(통신·주거 변화는 소재)	현상 특성(통신·주거 변화는 소재)	
2015_JUNE_Q07	REMAIN_NONE		집단 분류(인권 단체 소재)	집단 분류	집단 분류	
2016_JUNE_Q06	REMAIN_NONE		종교 기능론	관점 이론	관점 이론	
2017_JUNE_Q02	REMAIN_NONE		아동 학대 관점	관점 이론	관점 이론	
2018_JUNE_Q01	REMAIN_NONE		자연 현상과 사회 현상	현상 특성(stem 확인)	현상 특성(stem 확인)	
2018_SEPTEMBER_Q02	REMAIN_NONE		상징적 상호작용론·기능론	관점 이론	관점 이론	
2020_SEPTEMBER_Q09	REMAIN_NONE		종교 기능론·갈등론	관점 이론	관점 이론	
2020_SEPTEMBER_Q20	REMAIN_NONE		분배 정책과 계층 이동표	계층 이동표 계산	계층 이동표 계산	
2021_CSAT_Q06	REMAIN_NONE		사회 명목론·실재론	사회관(환경은 소재)	사회관(환경은 소재)	
2021_SEPTEMBER_Q18	REMAIN_NONE		지위·역할	지위 퍼즐(환경 운동가는 소재)	지위 퍼즐(환경 운동가는 소재)	
2022_CSAT_Q16	REMAIN_NONE		세대 간 계층 이동	계층 이동표	계층 이동표	
2022_JUNE_Q09	REMAIN_NONE		세대 간 계층 이동	계층 이동표	계층 이동표	
2022_JUNE_Q13	REMAIN_NONE		이주 가족 사회화·지위	지위 퍼즐	지위 퍼즐	
2023_JUNE_Q12	REMAIN_NONE		계층 구성 비율	계층 구조 분류	계층 구조 분류	
2023_SEPTEMBER_Q18	REMAIN_NONE		계층 구성 비율	계층 구조 분류	계층 구조 분류	
2024_CSAT_Q10	REMAIN_NONE		세대 간 계층 이동	계층 이동표	계층 이동표	
2024_JUNE_Q01	REMAIN_NONE		자연 현상과 사회 현상	현상 특성	현상 특성	
2024_JUNE_Q03	REMAIN_NONE		갈등론·기능론	관점 이론	관점 이론	
2024_JUNE_Q16	REMAIN_NONE		진화론적 변동관	변동 이론	변동 이론	
2025_CSAT_Q01	REMAIN_NONE		자연 현상과 사회 현상	현상 특성(기후 변화는 소재)	현상 특성(기후 변화는 소재)	
2025_CSAT_Q04	REMAIN_NONE		집단·사회화 기관	집단 분류	집단 분류	
2025_CSAT_Q10	REMAIN_NONE		세대 간·세대 내 이동	계층 이동표	계층 이동표	
2025_JUNE_Q10	REMAIN_NONE		국가별 계층 구조	계층 구조 분류	계층 구조 분류	
